id;name;number;URL;socket;Product Collection;Code Name;Vertical Segment;Processor Number;Lithography;Use Conditions;Total Cores;Total Threads;Max Turbo Frequency;Turbo Boost Max Technology 3.0 Frequency;Turbo Boost Technology 2.0 Frequency;Processor Base Frequency;Cache;Bus Speed;TDP;Configurable TDP-down Base Frequency;Configurable TDP-down;Thermal Velocity Boost Frequency;Configurable TDP-up Base Frequency;Configurable TDP-up;Deep Learning Boost ( DL Boost) on CPU;# of QPI Links;Scenario Design Power (SDP);# of Performance-cores;# of Efficient-cores;# of Low Power Efficient-cores;Performance-core Max Turbo Frequency;Efficient-core Max Turbo Frequency;Low Power Efficient-core Max Turbo Frequency;Performance-core Base Frequency;Efficient-core Base Frequency;Low Power Efficient-core Base Frequency;Processor Base Power;Maximum Turbo Power;Minimum Assured Power;AI Software Frameworks Supported by CPU;Marketing Status;Launch Date;Embedded Options Available;Use Conditions;Datasheet;Servicing Status;End of Servicing Updates Date;Description;Included Items;Expected Discontinuance;Product Brief;Additional Information;Functional Safety (FuSa) Documentation Available;Product Tuning (Embedded Uses);Max Memory Size (dependent on memory type);Memory Types;Max # of Memory Channels;Max Memory Bandwidth;ECC Memory Supported;Physical Address Extensions;Maximum Memory Speed;GPU Name;Graphics Base Frequency;Graphics Max Dynamic Frequency;Graphics Video Max Memory;Execution Units;4K Support;Max Resolution (HDMI);Max Resolution (DP);Max Resolution (eDP - Integrated Flat Panel);DirectX* Support;OpenGL* Support;OpenCL* Support;Quick Sync Video;InTru 3D Technology;Clear Video HD Technology;Clear Video Technology;# of Displays Supported;Device ID;Graphics Output;Multi-Format Codec Engines;Flexible Display Interface ( FDI);Max Resolution (VGA);Macrovision* License Required;Xe-cores;Ray Tracing;H.264 Hardware Encode/Decode;H.265 (HEVC) Hardware Encode/Decode;AV1 Encode/Decode;VP9 Bitstream & Decoding;Deep Learning Boost ( DL Boost) on GPU;AI Software Frameworks Supported by GPU;Scalability;PCI Express Revision;PCI Express Configurations;Max # of PCI Express Lanes;Thunderbolt 4;Microprocessor PCIe Revision;Chipset / PCH PCIe Revision;PCI Support;Sockets Supported;Max CPU Configuration;Thermal Solution Specification;TJUNCTION;Package Size;Thermal Velocity Boost Temperature;TCASE;Processing Die Size;# of Processing Die Transistors;Max Operating Temperature;Minimum Operating Temperature;Gaussian & Neural Accelerator;Deep Learning Boost ( DL Boost) on CPU;Optane Memory Supported;Thermal Velocity Boost;Turbo Boost Max Technology 3.0;Turbo Boost Technology;Hyper-Threading Technology;64;Instruction Set;Instruction Set Extensions;Idle States;Enhanced SpeedStep Technology;Thermal Monitoring Technologies;Identity Protection Technology;Image Processing Unit;Smart Sound Technology;Wake on Voice;High Definition Audio;Adaptix Technology;Speed Shift Technology;Flex Memory Access;Volume Management Device (VMD);MIPI SoundWire*;Demand Based Switching;Smart Response Technology;Transactional Synchronization Extensions;Fast Memory Access;My WiFi Technology;4G WiMAX Wireless Technology;Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);ME Firmware Version;HD Audio Technology;Matrix Storage Technology;Rapid Storage Technology;Smart Connect Technology;Time Coordinated Computing ( TCC);# of AVX-512 FMA Units;Thread Director;vPro Eligibility;AES New Instructions;Secure Key;Software Guard Extensions ( SGX);OS Guard;Trusted Execution Technology;Execute Disable Bit;Boot Guard;Stable IT Platform Program (SIPP);Virtualization Technology (VT-x);Virtualization Technology for Directed I/O (VT-d);VT-x with Extended Page Tables (EPT);Control-Flow Enforcement Technology;Mode-based Execute Control (MBEC);Total Memory Encryption;Memory Protection Extensions ( MPX);Anti-Theft Technology;Threat Detection Technology (TDT);Active Management Technology (AMT);Standard Manageability (ISM);Remote Platform Erase (RPE);One-Click Recovery;Hardware Shield Eligibility;Total Memory Encryption - Multi Key;Virtualization Technology with Redirect Protection (VT-rp);Physical Core Count;Processor Base Frequency;Cache;Bus Speed;FSB Parity;TDP;VID Voltage Range;Scenario Design Power (SDP);# of USB Ports;USB Revision;Total # of SATA Ports;Integrated LAN;Integrated IDE;General Purpose IO;UART;Max # of SATA 6.0 Gb/s Ports;NPU Name;Max Frequency;Sparsity Support;Windows Studio Effects Support;AI Software Frameworks Supported by NPU
E3-1230Lv3;Xeon Processor E3-1230L v3;number;https://ark.intel.com/content/www/us/en/ark/products/75053/intel-xeon-processor-e3-1230l-v3-8m-cache-1-80-ghz.html;FCLGA1150;Xeon Processor E3 v3 Family;Products formerly Haswell;Server;;22;;4;8;2800000000;;2800000000.0;1800000000;8 MB Smart Cache;5 GT/s;25;;;;;;;0;;;;;;;;;;;;;;;Discontinued;2013-04-01;False;;;End of Servicing Lifetime;Wednesday, June 30, 2021;;;;;;;;34359738368;DDR3 and DDR3L 1333/1600 at 1.5V;2;27487790694;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;1x16, 2x8, 1x8/2x4;16;;;;;;1;PCG 2013A;;['37.5mm', '37.5mm'];;;;;;;;;;;;2;True;True;64-bit;['SSE4.1', 'SSE4.2', 'AVX2'];True;True;True;True;;;;;;;True;;;;;True;True;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;True;True;True;True;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L3110;Xeon Processor L3110;number;https://ark.intel.com/content/www/us/en/ark/products/32709/intel-xeon-processor-l3110-6m-cache-3-00-ghz-1333-mhz-fsb.html;LGA775;Legacy Xeon Processors;Products formerly Wolfdale;Server;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2009-01-01;False;;;End of Servicing Lifetime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.65;107 mm2;410 million;;;;;;;;False;False;True;64-bit;;;True;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;2;3000000000;6 MB L2 Cache;1333000000;;45;0.8500V-1.3625V;;;;;;;;;;;;;;
D-1734NT;Xeon D-1734NT Processor;number;https://ark.intel.com/content/www/us/en/ark/products/226114/intel-xeon-d-1734nt-processor-15m-cache-up-to-3-10-ghz.html;FCBGA2227;Xeon D Processor;Products formerly Ice Lake;Server;;10;;8;16;3100000000;;;2000000000;15728640;;50;;;;;;True;;;8;;;;;;;;;;;;;Launched;2022-01-01;False;Automotive, Base Transceiver Station, Communications Commercial Temp, Embedded Broad Market Commercial Temp, Industrial Commercial Temp, Server/Enterprise;;;;;;;;;;;274877906944;DDR4;2;;True;;2667000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;4;;16;;Gen 4;Gen 3;;;;;;['45mm', '45mm'];;;;;;;;;False;;;2;True;True;64-bit;['AVX-512'];;True;True;;;;;;;;;True;;;;;;;;;;;;;;;;;1;;;True;;Yes with SPS;;True;True;True;;True;True;;;;True;;;;;;;;;;;;;;;;;;;4;3;;True;;;;24;;;;;
E5-2667V4;Xeon Processor E5-2667 v4;number;https://ark.intel.com/content/www/us/en/ark/products/92979/intel-xeon-processor-e5-2667-v4-25m-cache-3-20-ghz.html;FCLGA2011;Xeon Processor E5 v4 Family;Products formerly Broadwell;Server;;14;;8;16;3600000000;;3600000000.0;3200000000;25 MB Smart Cache;9.6;135;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2016-01-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;1649267441664;DDR4 1600/1866/2133/2400;4;82463372083;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;x4, x8, x16;40;;;;;;2;;;['45mm', '52.5mm'];;78;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;False;;;;;;;False;;;True;;True;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8276L;Xeon Platinum 8276L Processor;number;https://ark.intel.com/content/www/us/en/ark/products/192475/intel-xeon-platinum-8276l-processor-38-5m-cache-2-20-ghz.html;FCLGA3647;2nd Generation Xeon Scalable Processors;Products formerly Cascade Lake;Server;;14;;28;56;4000000000;;;2200000000;40370176.0;;165;;;;;;;;;;;;;;;;;;;;;;Launched;2019-04-01;False;;;Baseline Servicing;;;;;;;;;4947802324992;DDR4-2933;6;;True;;2933000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;89;;;;;;True;;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L5640;Xeon Processor L5640;number;https://ark.intel.com/content/www/us/en/ark/products/47926/intel-xeon-processor-l5640-12m-cache-2-26-ghz-5-86-gt-s-intel-qpi.html;FCLGA1366,LGA1366;Legacy Xeon Processors;Products formerly Westmere EP;Server;;32;;6;12;2800000000;;;2260000000;12 MB Smart Cache;5.86;60;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2010-01-01;False;;;End of Servicing Lifetime;;;;;;;;;309237645312;DDR3 800/1066/1333;3;34359738368;True;40-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;['42.5mm X 45mm'];;69.4;;;;;;;;;;1;True;True;64-bit;['SSE4.2'];True;True;False;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;True;;;;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6138F;Xeon Gold 6138F Processor;number;https://ark.intel.com/content/www/us/en/ark/products/123686/intel-xeon-gold-6138f-processor-27-5m-cache-2-00-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;20;40;3700000000;;;2000000000;27.5 MB L3 Cache;;135;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;824633720832;DDR4-2666;6;;True;;2666000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;;48;;;;;;;;;['88.0mm', '56.5mm'];;87;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5416S;Xeon Gold 5416S Processor;number;https://ark.intel.com/content/www/us/en/ark/products/232396/intel-xeon-gold-5416s-processor-30m-cache-2-00-ghz.html;FCLGA4677;4th Generation Xeon Scalable Processors;Products formerly Sapphire Rapids;Server;;7;;16;32;4000000000;;;2000000000;31457280;;150;;;;;;;;;;;;;;;;;;;;;;Launched;2023-01-01;False;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;Up to DDR5 4400 MT/s 1DPC and 2DPC;8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;79;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8593Q;Xeon Platinum 8593Q Processor;number;https://ark.intel.com/content/www/us/en/ark/products/237252/intel-xeon-platinum-8593q-processor-320m-cache-2-2-ghz.html;FCLGA4677;5th Gen Xeon Scalable Processors;Products formerly Emerald Rapids;Server;;7;;64;128;3900000000;;;2200000000;335544320;;385;;;;;;;;;;;;;;;;;;;;;;Launched;2023-10-01;;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;DDR5 @ 5600 MT/s (1 DPC);8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;60;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;
D-1834;Xeon D-1834 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/235735/intel-xeon-d-1834-processor-15m-cache-up-to-2-90-ghz.html;FCBGA2227;Xeon D Processor;Products formerly Ice Lake;Server;;;;8;16;2900000000;;;1800000000;15360;;42;;;;;;True;;;8;;;;;;;;;;;;;Launched;2023-10-01;False;Automotive, Base Transceiver Station, Communications Commercial Temp, Embedded Broad Market Commercial Temp, Industrial Commercial Temp, Server/Enterprise;;;;;;;;;;;274877906944;DDR4;2;;True;;2667000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;4;;16;;Gen 4;Gen 3;;;;;;['45mm', '45mm'];;;;;;;;;False;;;2;True;True;64-bit;['AVX-512'];;True;True;;;;;;;;;True;;;;;;;;;;;;;;;;;1;;;True;;Yes with SPS;;False;True;True;;True;True;;;;True;;;;;;;;;;;;;;;;;;;4;3;;False;;;;24;;;;;
5120;Xeon Gold 5120 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/120474/intel-xeon-gold-5120-processor-19-25m-cache-2-20-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;14;28;3200000000;;;2200000000;19.25 MB L3 Cache;;105;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;824633720832;DDR4-2400;6;;True;;2400000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;81;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;1;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-4655V4;Xeon Processor E5-4655 v4;number;https://ark.intel.com/content/www/us/en/ark/products/93808/intel-xeon-processor-e5-4655-v4-30m-cache-2-50-ghz.html;FCLGA2011;Xeon Processor E5 v4 Family;Products formerly Broadwell;Server;;14;;8;16;3200000000;;3200000000.0;2500000000;31457280;9.6;135;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2016-04-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;1649267441664;DDR4;4;73014444032;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4S;3;x4, x8, x16;40;;;;;;4;;;['45mm', '52.5mm'];;82;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;False;;;;;True;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
W3670;Xeon Processor W3670;number;https://ark.intel.com/content/www/us/en/ark/products/47918/intel-xeon-processor-w3670-12m-cache-3-20-ghz-4-80-gt-s-intel-qpi.html;FCLGA1366;Legacy Xeon Processors;Products formerly Westmere EP;Server;;32;;6;12;3460000000;;;3200000000;12 MB Smart Cache;4.8;130;;;;;;;1;;;;;;;;;;;;;;;Discontinued;2010-07-01;False;;;End of Servicing Lifetime;;;;;;;;;25769803776;DDR3 800/1066;3;27487790694;True;36-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;['42.5mm X 45mm'];;67.9;;;;;;;;;;1;True;True;64-bit;['SSE4.2'];True;True;False;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;True;;;;True;True;;;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8380;Xeon Platinum 8380 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/212287/intel-xeon-platinum-8380-processor-60m-cache-2-30-ghz.html;FCLGA4189;3rd Generation Xeon Scalable Processors;Products formerly Ice Lake;Server;;10;;40;80;3400000000;;;2300000000;62914560;;270;;;;;;;;;;;;;;;;;;;;;;Launched;2021-04-01;False;;;Baseline Servicing;;;;;;;;;6597069766656;DDR4-3200;8;;True;;3200000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;4;;64;;;;;;;;;['77.5mm', '56.5mm'];;83;;;;;;True;;;;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;;True;True;;;True;True;True;;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D-1523N;Xeon Processor D-1523N;number;https://ark.intel.com/content/www/us/en/ark/products/123001/intel-xeon-processor-d-1523n-6m-cache-2-00-ghz.html;FCBGA1667;Xeon D Processor;Products formerly Broadwell;Server;;14;;4;8;2600000000;;2600000000.0;2000000000;6291456;;45;;;;;;;0;;;;;;;;;;;;;;;Launched;2017-07-01;True;Server/Enterprise;;;;;;;;;;;137438953472;DDR4, DDR3;2;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;2.0/3.0;x4 x8 x16;32;;;;;;1;;;['37.5mm', '37.5mm'];;;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;8;2.0/3.0;6;True;;True;True;6;;;;;
6154;Xeon Gold 6154 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/120495/intel-xeon-gold-6154-processor-24-75m-cache-3-00-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;18;36;3700000000;;;3000000000;24.75 MB L3 Cache;;200;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;824633720832;DDR4-2666;6;;True;;2666000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S4S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;82;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8153;Xeon Platinum 8153 Processor;number;https://ark.intel.com/content/www/us/en/ark/products/120497/intel-xeon-platinum-8153-processor-22m-cache-2-00-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;16;32;2800000000;;;2000000000;22 MB L3 Cache;;125;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;824633720832;DDR4-2666;6;;True;;2666000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;3;;48;;;;;;;;;['76.0mm', '56.5mm'];;87;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5-2683V4;Xeon Processor E5-2683 v4;number;https://ark.intel.com/content/www/us/en/ark/products/91766/intel-xeon-processor-e5-2683-v4-40m-cache-2-10-ghz.html;FCLGA2011;Xeon Processor E5 v4 Family;Products formerly Broadwell;Server;;14;;16;32;3000000000;;3000000000;2100000000;40 MB Smart Cache;9.6;120;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2016-01-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;1649267441664;DDR4 1600/1866/2133/2400;4;82463372083;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;x4, x8, x16;40;;;;;;2;;;['45mm', '52.5mm'];;84;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;False;;;;;;;False;;;True;;True;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8160F;Xeon Platinum 8160F Processor;number;https://ark.intel.com/content/www/us/en/ark/products/123687/intel-xeon-platinum-8160f-processor-33m-cache-2-10-ghz.html;FCLGA3647;Xeon Scalable Processors;Products formerly Skylake;Server;;14;;24;48;3700000000;;;2100000000;33 MB L3 Cache;;160;;;;;;;;;;;;;;;;;;;;;;Discontinued;2017-07-01;False;;;ESU Notification Issued;Sunday, December 31, 2023;Server Component Extended Warranty provides an additional 2 years and is available wherever the 3 year standard warranty is available, and must be order at the same time or within 30 days of product order;;;;;;;824633720832;DDR4-2666;6;;True;;2666000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;3;;48;;;;;;;;;['88.0mm', '56.5mm'];;87;;;;;;;False;;False;2;True;True;;['SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;True;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;vPro Platform;True;;;;True;True;;;True;True;True;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7-8893V2;Xeon Processor E7-8893 v2;number;https://ark.intel.com/content/www/us/en/ark/products/75260/intel-xeon-processor-e7-8893-v2-37-5m-cache-3-40-ghz.html;FCLGA2011;Xeon Processor E7 v2 Family;Products formerly Ivy Bridge;Server;;22;;6;12;3700000000;;3700000000.0;3400000000;39321600.0;8 GT/s;155;;;;;;;3;;;;;;;;;;;;;;;Discontinued;2014-01-01;False;;;End of Servicing Lifetime;Tuesday, June 30, 2020;;;;;;;;1649267441664;DDR3 1066/1333/1600;4;91268055040;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;3;x4, x8, x16;32;;;;;;8;;;['52mm', '45mm'];;77;;;;;;;;;;2;True;True;64-bit;['AVX'];True;True;True;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D-2187NT;Xeon D-2187NT Processor;number;https://ark.intel.com/content/www/us/en/ark/products/136440/intel-xeon-d-2187nt-processor-22m-cache-2-00-ghz.html;FCBGA2518;Xeon D Processor;Products formerly Skylake;Server;;14;;16;32;3000000000;;;2000000000;23068672;;110;;;;;;;;;;;;;;;;;;;;;;Launched;2018-01-01;True;;;ESU Notification Issued;Sunday, December 31, 2023;;;;;;;;549755813888;DDR4;4;;True;;2667000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1S Only;3;>;32;;;;;;1;;;;;;;;;;;;False;;False;2;True;True;64-bit;['AVX2', 'AVX-512'];True;True;True;;;;;;;;;True;;;;True;;;;;;;;;;;;;1;;;True;True;False;True;True;True;True;;True;True;True;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E5405;Xeon Processor E5405;number;https://ark.intel.com/content/www/us/en/ark/products/33079/intel-xeon-processor-e5405-12m-cache-2-00-ghz-1333-mhz-fsb.html;LGA771;Legacy Xeon Processors;Products formerly Harpertown;Server;;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Discontinued;2007-10-01;False;;;End of Servicing Lifetime;;;;2010-10-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;['37.5mm', '37.5mm'];;67;214 mm2;820 million;;;;;;;;False;False;True;64-bit;;False;False;True;;;;;;;;;;;False;;;;;;True;;False;;;;;;;;;;;;;;False;True;;;;;;;;;;;;;;;;;;;4;2000000000;12 MB L2 Cache;1333000000;True;80;0.850V-1.3500V;;;;;;;;;;;;;;
4514Y;Xeon Silver 4514Y Processor;number;https://ark.intel.com/content/www/us/en/ark/products/237557/intel-xeon-silver-4514y-processor-30m-cache-2-00-ghz.html;FCLGA4677;5th Gen Xeon Scalable Processors;Products formerly Emerald Rapids;Server;;7;;16;32;3400000000;;;2000000000;31457280;;150;;;;;;;;;;;;;;;;;;;;;;Launched;2023-10-01;True;Server/Enterprise;;Baseline Servicing;;;;;;;;;4398046511104;Up to DDR5 4400 MT/s (1DPC & 2DPC);8;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2S;5;;80;;;;;;;;;['77.5mm', '56.5mm'];;79;;;;;;True;;;;2;True;True;;['AMX', 'SSE4.2', 'AVX', 'AVX2', 'AVX-512'];;;;;;;;;;True;;True;;;;True;;;;;;;;;;;;;2;;;True;;Yes with SPS;True;True;True;True;;True;True;True;True;True;True;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;
E5540;Xeon Processor E5540;number;https://ark.intel.com/content/www/us/en/ark/products/37104/intel-xeon-processor-e5540-8m-cache-2-53-ghz-5-86-gt-s-intel-qpi.html;FCLGA1366;Legacy Xeon Processors;Products formerly Nehalem EP;Server;;45;;4;8;2800000000;;;2530000000;8 MB Smart Cache;5.86;80;;;;;;;2;;;;;;;;;;;;;;;Discontinued;2009-01-01;True;Server/Enterprise;;End of Servicing Lifetime;;;;;;;;;154618822656;DDR3 800/1066;3;27487790694;True;40-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;['42.5mm', '45mm'];;76;263 mm2;731 million;;;;;;;;1;True;True;64-bit;;True;True;;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7-8890V4;Xeon Processor E7-8890 v4;number;https://ark.intel.com/content/www/us/en/ark/products/93790/intel-xeon-processor-e7-8890-v4-60m-cache-2-20-ghz.html;FCLGA2011;Xeon Processor E7 v4 Family;Products formerly Broadwell;Server;;14;;24;48;3400000000;;3400000000.0;2200000000;62914560;9.6;165;;;;;;;3;;;;;;;;;;;;;;;Discontinued;2016-04-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;3298534883328;DDR4-1333/1600/1866 DDR3-1066/1333/1600;4;91268055040;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S8S;3;x4, x8, x16;32;;;;;;8;;;['45mm', '52.5mm'];;79;;;;;;;;;;2;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;False;;;False;;True;;;;;;;;;;;;;;;vPro Platform;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7-4809V4;Xeon Processor E7-4809 v4;number;https://ark.intel.com/content/www/us/en/ark/products/93794/intel-xeon-processor-e7-4809-v4-20m-cache-2-10-ghz.html;FCLGA2011;Xeon Processor E7 v4 Family;Products formerly Broadwell;Server;;14;;8;16;;;;2100000000;20971520;6.4;115;;;;;;;3;;;;;;;;;;;;;;;Discontinued;2016-04-01;False;;;End of Servicing Updates;Thursday, June 30, 2022;;;;;;;;3298534883328;DDR4-1333/1600/1866 DDR3-1066/1333;4;91268055040;True;46-bit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S4S;3;x4, x8, x16;32;;;;;;4;;;['45mm', '52.5mm'];;69;;;;;;;;;;False;True;True;64-bit;['AVX2'];True;True;True;;;;;;;;;;;;;True;;;;;;;;;;;;;;;;True;True;;True;True;True;;;True;True;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
