Result ID,Short ID,Company,System,Spec. Revision,Scale Factor,QphH,Price Perf,Total Sys. Cost,Currency,Database Software,Operating System,CPU Type,# CPU's,Total Processors,Total Cores,Total Threads,Cluster,Date Submitted,Active Expiration Date,Availability Date,Withdrawn,Date Withdrawn,Watts/KqphH,Average Power of REC,Idle Power of REC,Lowest Temp at Inlet,DB-Server Watts per KqphH,DB-Server Full Power Avg Watts,DB-Server Full Power %,DB-Server Idle Power Avg Watts,DB-Server Idle Power %,Storage Watts per KqphH,Storage Full Power Avg Watts,Storage Full Power %,Storage Idle Power Avg Watts,Storage Idle Power %,App-Server Watts per KqphH,App-Server Full Power Avg Watts,App-Server Full Power %,App-Server Idle Power Avg Watts,App-Server Idle Power %,Misc Watts per KqphH,Misc Full Power Avg Watts,Misc Full Power %,Misc Idle Power Avg Watts,Misc Idle Power %,Total Full Power Avg Watts,Total Idle Power Avg Watts
114092303,3306,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,1000,5246338.1,0.14,719813,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,20,40,400,800,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092304,3307,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,3000,7808386.6,0.15,1136440,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,28,56,560,1120,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092305,3308,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,10000,10133244.6,0.17,1657083,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,34,68,680,1360,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092306,3309,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,30000,11223614.4,0.23,2566209,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,40,80,800,1600,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114092307,3310,Dell                ,Dell PowerEdge R720xd using EXASolution 5.0       ,2.17.0    ,100000,11612395.5,0.37,4222459,USD,EXASOL EXASolution 5.0                                                                                                                                                                                                                                         ,EXASOL EXACluster OS 5.0                                                                                                                                                                                                                                       ,Intel Xeon E5-2680 v2 2.80 GHz                                                                                                                                                                                                                                 ,50,100,1000,2000,Y,9/23/2014,9/24/2017,9/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112060401,3284,Dell                ,Dell PowerEdge R820                               ,2.14.0    ,1000,445529.6,0.75,333237,USD,Actian VectorWise 2.0.1                                                                                                                                                                                                                                        ,Red Hat Enterprise Linux 6.1                                                                                                                                                                                                                                   ,Intel Xeon E5-4650 - 2.70 GHz                                                                                                                                                                                                                                  ,1,4,32,32,N,6/1/2012,6/1/2015,6/1/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112051301,3282,Dell                ,Dell PowerEdge R720                               ,2.14.0    ,100,403230.1,0.12,48381,USD,Actian VectorWise 2.0.1                                                                                                                                                                                                                                        ,Red Hat Enterprise Linux 6.1                                                                                                                                                                                                                                   ,Intel Xeon E5-2690 - 2.90 GHz                                                                                                                                                                                                                                  ,1,2,16,16,N,5/13/2012,5/13/2015,5/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112051302,3283,Dell                ,Dell PowerEdge R720                               ,2.14.0    ,300,410594.1,0.28,111904,USD,Actian VectorWise 2.0.1                                                                                                                                                                                                                                        ,Red Hat Enterprise Linux 6.1                                                                                                                                                                                                                                   ,Intel Xeon E5-2690 - 2.90 GHz                                                                                                                                                                                                                                  ,1,2,16,16,N,5/13/2012,5/13/2015,5/8/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111052302,3273,Dell                ,Dell PowerEdge R610                               ,2.14.0    ,100,303289.8,0.16,48328,USD,Actian VectorWise 1.6                                                                                                                                                                                                                                          ,Red Hat Enterprise Linux 6.0                                                                                                                                                                                                                                   ,Intel Xeon X5690 Hex-Core - 3.46 GHz                                                                                                                                                                                                                           ,1,2,12,12,N,5/23/2011,5/23/2014,6/30/2011,,,1.28,387,179,25.9,,,,,,,,,,,,,,,,,,,,,,
111050401,3271,Dell                ,Dell PowerEdge R910                               ,2.14.0    ,300,400931.8,0.35,139459,USD,Actian VectorWise 1.6                                                                                                                                                                                                                                          ,Red Hat Enterprise Linux 6.0                                                                                                                                                                                                                                   ,Intel Xeon E7-8837 - 2.67 GHz                                                                                                                                                                                                                                  ,1,4,32,32,N,5/3/2011,5/3/2014,6/30/2011,,,2.38,955,675,22.9,,,,,,,,,,,,,,,,,,,,,,
